-7.141651	-117.093441-20.250000	-14.250000
-7.284445	-116.357160-20.250000	-13.500000
-7.427239	-115.620879-20.250000	-12.750000
-7.570032	-114.884598-20.250000	-12.000000
-7.712826	-114.148317-20.250000	-11.250000
-7.855620	-113.412036-20.250000	-10.500000
-7.998414	-112.675754-20.250000	-9.750000
-8.141208	-111.939473-20.250000	-9.000000
-8.284002	-111.203192-20.250000	-8.250000
-8.426796	-110.466911-20.250000	-7.500000
-8.569590	-109.730630-20.250000	-6.750000
-8.712384	-108.994349-20.250000	-6.000000
-8.855178	-108.258068-20.250000	-5.250000
-8.997972	-107.521787-20.250000	-4.500000
-9.140765	-106.785505-20.250000	-3.750000
-9.283559	-106.049224-20.250000	-3.000000
-9.426353	-105.312943-20.250000	-2.250000
-9.569147	-104.576662-20.250000	-1.500000
-9.711941	-103.840381-20.250000	-0.750000
-9.854735	-103.104100-20.250000	0.000000
-9.997529	-102.367819-20.250000	0.750000
-10.140323	-101.631537-20.250000	1.500000
-4.549049	-126.522302-19.500000	-24.000000
-4.691843	-125.786021-19.500000	-23.250000
-4.834636	-125.049740-19.500000	-22.500000
-4.977430	-124.313459-19.500000	-21.750000
-5.120224	-123.577177-19.500000	-21.000000
-5.263018	-122.840896-19.500000	-20.250000
-5.405812	-122.104615-19.500000	-19.500000
-5.548606	-121.368334-19.500000	-18.750000
-5.691400	-120.632053-19.500000	-18.000000
-5.834194	-119.895772-19.500000	-17.250000
-5.976988	-119.159491-19.500000	-16.500000
-6.119782	-118.423209-19.500000	-15.750000
-6.262576	-117.686928-19.500000	-15.000000
-6.405370	-116.950647-19.500000	-14.250000
-6.548163	-116.214366-19.500000	-13.500000
-6.690957	-115.478085-19.500000	-12.750000
-6.833751	-114.741804-19.500000	-12.000000
-6.976545	-114.005523-19.500000	-11.250000
-7.119339	-113.269242-19.500000	-10.500000
-7.262133	-112.532960-19.500000	-9.750000
-7.404927	-111.796679-19.500000	-9.000000
-7.547721	-111.060398-19.500000	-8.250000
-7.690515	-110.324117-19.500000	-7.500000
-7.833309	-109.587836-19.500000	-6.750000
-7.976103	-108.851555-19.500000	-6.000000
-8.118897	-108.115274-19.500000	-5.250000
-8.261690	-107.378993-19.500000	-4.500000
-8.404484	-106.642711-19.500000	-3.750000
-8.547278	-105.906430-19.500000	-3.000000
-8.690072	-105.170149-19.500000	-2.250000
-8.832866	-104.433868-19.500000	-1.500000
-8.975660	-103.697587-19.500000	-0.750000
-9.118454	-102.961306-19.500000	0.000000
-9.261248	-102.225025-19.500000	0.750000
-9.404042	-101.488744-19.500000	1.500000
-9.546836	-100.752462-19.500000	2.250000
-9.689630	-100.016181-19.500000	3.000000
-9.832424	-99.279900-19.500000	3.750000
-3.812768	-126.379508-18.750000	-24.000000
-3.955561	-125.643227-18.750000	-23.250000
-4.098355	-124.906946-18.750000	-22.500000
-4.241149	-124.170665-18.750000	-21.750000
-4.383943	-123.434383-18.750000	-21.000000
-4.526737	-122.698102-18.750000	-20.250000
-4.669531	-121.961821-18.750000	-19.500000
-4.812325	-121.225540-18.750000	-18.750000
-4.955119	-120.489259-18.750000	-18.000000
-5.097913	-119.752978-18.750000	-17.250000
-5.240707	-119.016697-18.750000	-16.500000
-5.383501	-118.280416-18.750000	-15.750000
-5.526295	-117.544134-18.750000	-15.000000
-5.669088	-116.807853-18.750000	-14.250000
-5.811882	-116.071572-18.750000	-13.500000
-5.954676	-115.335291-18.750000	-12.750000
-6.097470	-114.599010-18.750000	-12.000000
-6.240264	-113.862729-18.750000	-11.250000
-6.383058	-113.126448-18.750000	-10.500000
-6.525852	-112.390167-18.750000	-9.750000
-6.668646	-111.653885-18.750000	-9.000000
-6.811440	-110.917604-18.750000	-8.250000
-6.954234	-110.181323-18.750000	-7.500000
-7.097028	-109.445042-18.750000	-6.750000
-7.239821	-108.708761-18.750000	-6.000000
-7.382615	-107.972480-18.750000	-5.250000
-7.525409	-107.236199-18.750000	-4.500000
-7.668203	-106.499918-18.750000	-3.750000
-7.810997	-105.763636-18.750000	-3.000000
-7.953791	-105.027355-18.750000	-2.250000
-8.096585	-104.291074-18.750000	-1.500000
-8.239379	-103.554793-18.750000	-0.750000
-8.382173	-102.818512-18.750000	0.000000
-8.524967	-102.082231-18.750000	0.750000
-8.667761	-101.345950-18.750000	1.500000
-8.810555	-100.609669-18.750000	2.250000
-8.953348	-99.873387-18.750000	3.000000
-9.096142	-99.137106-18.750000	3.750000
-9.238936	-98.400825-18.750000	4.500000
-9.381730	-97.664544-18.750000	5.250000
-9.524524	-96.928263-18.750000	6.000000
-3.076486	-126.236714-18.000000	-24.000000
-3.219280	-125.500433-18.000000	-23.250000
-3.362074	-124.764152-18.000000	-22.500000
-3.504868	-124.027871-18.000000	-21.750000
-3.647662	-123.291590-18.000000	-21.000000
-3.790456	-122.555308-18.000000	-20.250000
-3.933250	-121.819027-18.000000	-19.500000
-4.076044	-121.082746-18.000000	-18.750000
-4.218838	-120.346465-18.000000	-18.000000
-4.361632	-119.610184-18.000000	-17.250000
-4.504426	-118.873903-18.000000	-16.500000
-4.647219	-118.137622-18.000000	-15.750000
-4.790013	-117.401341-18.000000	-15.000000
-4.932807	-116.665059-18.000000	-14.250000
-5.075601	-115.928778-18.000000	-13.500000
-5.218395	-115.192497-18.000000	-12.750000
-5.361189	-114.456216-18.000000	-12.000000
-5.503983	-113.719935-18.000000	-11.250000
-5.646777	-112.983654-18.000000	-10.500000
-5.789571	-112.247373-18.000000	-9.750000
-5.932365	-111.511092-18.000000	-9.000000
-6.075159	-110.774810-18.000000	-8.250000
-6.217953	-110.038529-18.000000	-7.500000
-6.360746	-109.302248-18.000000	-6.750000
-6.503540	-108.565967-18.000000	-6.000000
-6.646334	-107.829686-18.000000	-5.250000
-6.789128	-107.093405-18.000000	-4.500000
-6.931922	-106.357124-18.000000	-3.750000
-7.074716	-105.620843-18.000000	-3.000000
-7.217510	-104.884561-18.000000	-2.250000
-7.360304	-104.148280-18.000000	-1.500000
-7.503098	-103.411999-18.000000	-0.750000
-7.645892	-102.675718-18.000000	0.000000
-7.788686	-101.939437-18.000000	0.750000
-7.931480	-101.203156-18.000000	1.500000
-8.074273	-100.466875-18.000000	2.250000
-8.217067	-99.730593-18.000000	3.000000
-8.359861	-98.994312-18.000000	3.750000
-8.502655	-98.258031-18.000000	4.500000
-8.645449	-97.521750-18.000000	5.250000
-8.788243	-96.785469-18.000000	6.000000
-8.931037	-96.049188-18.000000	6.750000
-9.073831	-95.312907-18.000000	7.500000
-9.216625	-94.576626-18.000000	8.250000
-9.359419	-93.840344-18.000000	9.000000
-2.340205	-126.093920-17.250000	-24.000000
-2.482999	-125.357639-17.250000	-23.250000
-2.625793	-124.621358-17.250000	-22.500000
-2.768587	-123.885077-17.250000	-21.750000
-2.911381	-123.148796-17.250000	-21.000000
-3.054175	-122.412515-17.250000	-20.250000
-3.196969	-121.676233-17.250000	-19.500000
-3.339763	-120.939952-17.250000	-18.750000
-3.482557	-120.203671-17.250000	-18.000000
-3.625351	-119.467390-17.250000	-17.250000
-3.768144	-118.731109-17.250000	-16.500000
-3.910938	-117.994828-17.250000	-15.750000
-4.053732	-117.258547-17.250000	-15.000000
-4.196526	-116.522265-17.250000	-14.250000
-4.339320	-115.785984-17.250000	-13.500000
-4.482114	-115.049703-17.250000	-12.750000
-4.624908	-114.313422-17.250000	-12.000000
-4.767702	-113.577141-17.250000	-11.250000
-4.910496	-112.840860-17.250000	-10.500000
-5.053290	-112.104579-17.250000	-9.750000
-5.196084	-111.368298-17.250000	-9.000000
-5.338877	-110.632016-17.250000	-8.250000
-5.481671	-109.895735-17.250000	-7.500000
-5.624465	-109.159454-17.250000	-6.750000
-5.767259	-108.423173-17.250000	-6.000000
-5.910053	-107.686892-17.250000	-5.250000
-6.052847	-106.950611-17.250000	-4.500000
-6.195641	-106.214330-17.250000	-3.750000
-6.338435	-105.478049-17.250000	-3.000000
-6.481229	-104.741767-17.250000	-2.250000
-6.624023	-104.005486-17.250000	-1.500000
-6.766817	-103.269205-17.250000	-0.750000
-6.909611	-102.532924-17.250000	0.000000
-7.052404	-101.796643-17.250000	0.750000
-7.195198	-101.060362-17.250000	1.500000
-7.337992	-100.324081-17.250000	2.250000
-7.480786	-99.587800-17.250000	3.000000
-7.623580	-98.851518-17.250000	3.750000
-7.766374	-98.115237-17.250000	4.500000
-7.909168	-97.378956-17.250000	5.250000
-8.051962	-96.642675-17.250000	6.000000
-8.194756	-95.906394-17.250000	6.750000
-8.337550	-95.170113-17.250000	7.500000
-8.480344	-94.433832-17.250000	8.250000
-8.623138	-93.697551-17.250000	9.000000
-8.765931	-92.961269-17.250000	9.750000
-8.908725	-92.224988-17.250000	10.500000
-9.051519	-91.488707-17.250000	11.250000
-1.603924	-125.951126-16.500000	-24.000000
-1.746718	-125.214845-16.500000	-23.250000
-1.889512	-124.478564-16.500000	-22.500000
-2.032306	-123.742283-16.500000	-21.750000
-2.175100	-123.006002-16.500000	-21.000000
-2.317894	-122.269721-16.500000	-20.250000
-2.460688	-121.533439-16.500000	-19.500000
-2.603482	-120.797158-16.500000	-18.750000
-2.746275	-120.060877-16.500000	-18.000000
-2.889069	-119.324596-16.500000	-17.250000
-3.031863	-118.588315-16.500000	-16.500000
-3.174657	-117.852034-16.500000	-15.750000
-3.317451	-117.115753-16.500000	-15.000000
-3.460245	-116.379472-16.500000	-14.250000
-3.603039	-115.643190-16.500000	-13.500000
-3.745833	-114.906909-16.500000	-12.750000
-3.888627	-114.170628-16.500000	-12.000000
-4.031421	-113.434347-16.500000	-11.250000
-4.174215	-112.698066-16.500000	-10.500000
-4.317009	-111.961785-16.500000	-9.750000
-4.459802	-111.225504-16.500000	-9.000000
-4.602596	-110.489223-16.500000	-8.250000
-4.745390	-109.752941-16.500000	-7.500000
-4.888184	-109.016660-16.500000	-6.750000
-5.030978	-108.280379-16.500000	-6.000000
-5.173772	-107.544098-16.500000	-5.250000
-5.316566	-106.807817-16.500000	-4.500000
-5.459360	-106.071536-16.500000	-3.750000
-5.602154	-105.335255-16.500000	-3.000000
-5.744948	-104.598974-16.500000	-2.250000
-5.887742	-103.862692-16.500000	-1.500000
-6.030536	-103.126411-16.500000	-0.750000
-6.173329	-102.390130-16.500000	0.000000
-6.316123	-101.653849-16.500000	0.750000
-6.458917	-100.917568-16.500000	1.500000
-6.601711	-100.181287-16.500000	2.250000
-6.744505	-99.445006-16.500000	3.000000
-6.887299	-98.708725-16.500000	3.750000
-7.030093	-97.972443-16.500000	4.500000
